_id,Nº OCORRÊNCIA,DATA DO FATO,HORA DO FATO,GRUPO DE INCIDENTE,TIPO DE INCIDENTE,UF,MUNICÍPIO,BAIRRO,LOGRADOURO,TIPO DE LOCAL
1,53328506,2024-01-01T00:00:00,00:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,GUARAPARI,PRAIA DO MORRO,AV. BEIRA MAR,VIA PÚBLICA
2,53328710,2024-01-01T00:00:00,00:20:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,PRAIA DA COSTA,RUA PERNAMBUCO,VIA PÚBLICA
3,53330366,2024-01-01T00:00:00,05:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,PRAIA DA COSTA,PRAIA DA COSTA,VIA PÚBLICA
4,53331643,2024-01-01T00:00:00,17:20:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VIANA,SOTECO,RUA NAO CADASTRADA,VIA PÚBLICA
5,53331957,2024-01-01T00:00:00,18:40:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,GUARAPARI,NOVA GUARAPARI,AV VINA DEL MAR,VIA PÚBLICA
6,53334953,2024-01-01T00:00:00,05:10:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,SANTO ANDRE,RUA DOS LIRIOS,VIA PÚBLICA
7,53335755,2024-01-01T00:00:00,01:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,PRAIA DA COSTA,BALNEÁRIO DA PRAIA DA COSTA,VIA PÚBLICA
8,53335919,2024-01-01T00:00:00,04:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SAO MATEUS,GURIRI,S/I,VIA PÚBLICA
9,53336018,2024-01-01T00:00:00,19:45:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SAO MATEUS,SERNAMBY,RUA DO TEIMOSO,VIA PÚBLICA
10,53336108,2024-01-01T00:00:00,02:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,GUARAPARI,PRAIA DO MORRO,AV BEIRA MAR,VIA PÚBLICA
11,53336402,2024-01-01T00:00:00,05:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,JARDIM GUADALAJARA,S/I,OUTRO LOCAL
12,53337653,2024-01-01T00:00:00,06:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,ESTANCIA MONAZITICA,S/I,VIA PÚBLICA
13,53338418,2024-01-01T00:00:00,02:39:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,PORTAL DE JACARAIPE,RUA,OUTRO LOCAL
14,53338697,2024-01-01T00:00:00,05:23:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,CAMPO VERDE,S/I,VIA PÚBLICA
15,53339347,2024-01-01T00:00:00,04:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,PRAIA DA COSTA,AV CHAMPAGNAT,VIA PÚBLICA
16,53340384,2024-01-01T00:00:00,02:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,JARDIM CAMBURI,AV DANTE MICHELINI,VIA PÚBLICA
17,53340965,2024-01-01T00:00:00,02:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,PRAIA DA COSTA,S/I,VIA PÚBLICA
18,53344650,2024-01-01T00:00:00,00:48:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SAO MATEUS,GURIRI,AVENIDA OCEANO ATLÃNTICO - LADO SUL,OUTRO LOCAL
19,53344672,2024-01-01T00:00:00,Indeterminada,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM RESIDÊNCIA/CONDOMÍNIO,ES,FUNDAO,TIMBUI,EMENERGILDO PALAURO,RESIDÊNCIA
20,53345097,2024-01-01T00:00:00,01:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,JARDIM CAMBURI,AV DANTE MICHELINE,VIA PÚBLICA
21,53345894,2024-01-01T00:00:00,15:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,SANTA MONICA,S/I,VIA PÚBLICA
22,53347630,2024-01-01T00:00:00,06:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,OUTRO LOCAL,RUA SÃO LUCAS,OUTRO LOCAL
23,53348836,2024-01-01T00:00:00,12:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,GUARAPARI,CENTRO,S/I,VIA PÚBLICA
24,53351556,2024-01-01T00:00:00,00:40:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SAO MATEUS,GURIRI,CENTRO,VIA PÚBLICA
25,53352798,2024-01-01T00:00:00,Indeterminada,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,SANTO ANDRE,ESCADARIA DE SANTO ANDRÉ,VIA PÚBLICA
26,53352919,2024-01-01T00:00:00,02:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,PRAIA DA COSTA,GIL VELOSO,VIA PÚBLICA
27,53353191,2024-01-01T00:00:00,02:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,JARDIM CAMBURI,AVENIDA DANTE MICHELINI,VIA PÚBLICA
28,53353270,2024-01-01T00:00:00,00:40:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,PONTAL DE CAMBURI,PONTE AYRTON SENNA,VIA PÚBLICA
29,53353725,2024-01-01T00:00:00,01:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,OUTRO LOCAL,S/I,VIA PÚBLICA
